index,ui_name,readable_name,kind,plant,warehouse,customer,product,lower_bound,upper_bound,cost_per_unit
0,v0,ship_plant0_to_warehouse0_diesel,plant_to_warehouse,0,0,,diesel,0.0,inf,8.286428
1,v1,ship_plant0_to_warehouse0_petrol,plant_to_warehouse,0,0,,petrol,0.0,inf,8.399229
2,v2,ship_plant0_to_warehouse0_lpg,plant_to_warehouse,0,0,,lpg,0.0,inf,8.018526
3,v3,ship_plant0_to_warehouse0_lubricant,plant_to_warehouse,0,0,,lubricant,0.0,inf,8.441332
4,v4,ship_plant0_to_warehouse1_diesel,plant_to_warehouse,0,1,,diesel,0.0,inf,68.404258
5,v5,ship_plant0_to_warehouse1_petrol,plant_to_warehouse,0,1,,petrol,0.0,inf,68.517059
6,v6,ship_plant0_to_warehouse1_lpg,plant_to_warehouse,0,1,,lpg,0.0,inf,68.136356
7,v7,ship_plant0_to_warehouse1_lubricant,plant_to_warehouse,0,1,,lubricant,0.0,inf,68.559162
8,v8,ship_plant0_to_warehouse2_diesel,plant_to_warehouse,0,2,,diesel,0.0,inf,69.212147
9,v9,ship_plant0_to_warehouse2_petrol,plant_to_warehouse,0,2,,petrol,0.0,inf,69.324948
10,v10,ship_plant0_to_warehouse2_lpg,plant_to_warehouse,0,2,,lpg,0.0,inf,68.944245
11,v11,ship_plant0_to_warehouse2_lubricant,plant_to_warehouse,0,2,,lubricant,0.0,inf,69.367051
12,v12,ship_plant0_to_warehouse3_diesel,plant_to_warehouse,0,3,,diesel,0.0,inf,57.147364
13,v13,ship_plant0_to_warehouse3_petrol,plant_to_warehouse,0,3,,petrol,0.0,inf,57.260164
14,v14,ship_plant0_to_warehouse3_lpg,plant_to_warehouse,0,3,,lpg,0.0,inf,56.879461
15,v15,ship_plant0_to_warehouse3_lubricant,plant_to_warehouse,0,3,,lubricant,0.0,inf,57.302268
16,v16,ship_plant0_to_warehouse4_diesel,plant_to_warehouse,0,4,,diesel,0.0,inf,13.754013
